id,xc,yc,old_label,new_label
n9,545.4160643336619,723.1609436496497,,"14,11"
n2,546.2660673760672,771.5709880687674,,"15,11"
n0,545.756065550624,820.8594386687141,,"16,11"
n5,545.586064942143,869.2510513507983,,"17,11"
n15,546.7521628659428,918.6562126302746,,"18,11"
n463,546.4765136167273,971.4033602963594,,"19,11"
n461,545.9665117912841,1020.6918108963062,,"20,11"
n466,545.796511182803,1069.0834235783905,,"21,11"
n472,546.9626091066029,1118.4885848578665,,"22,11"
n596,548.6619180802797,1156.1723217553147,"23,11","23,11"
n342,595.3458113767651,89.43771336310475,,"1,12"
n343,598.9981681996005,139.97711937729022,,"2,12"
n345,597.3380060074026,185.60708225994526,,"3,12"
n322,598.6507541314749,231.6024584562625,,"4,12"
n320,602.6351433927499,281.19919723860005,,"5,12"
n319,595.6624621855186,328.96738538685975,,"6,12"
n321,599.314819008354,379.506791401045,,"7,12"
n324,597.654656816156,425.13675428370004,,"8,12"
n110,595.31540956804,483.2912704089327,,"9,12"
n107,595.9153973984186,531.5313142195694,,"10,12"
n103,595.1454089595591,580.8197648195161,,"11,12"
n108,594.7253931390512,630.4013817609676,,"12,12"
n122,596.805571151757,679.8218269608491,,"13,12"
n10,595.6320603767934,722.8209424326875,,"14,12"
n7,596.232048207172,771.0609862433242,,"15,12"
n3,595.4620597683125,820.3494368432708,,"16,12"
n8,595.0420439478047,869.9310537847225,,"17,12"
n22,597.1222219605105,919.3514989846038,,"18,12"
n468,596.4424944478321,970.8933584709163,,"19,12"
n464,595.6725060089725,1020.1818090708629,,"20,12"
n469,595.2524901884649,1069.7634260123145,,"21,12"
n478,597.3326682011707,1119.1838712121958,"22,12","22,12"
n331,647.5053252280785,90.06593948865985,,"1,13"
n334,648.6667569676724,140.44974680138156,,"2,13"
n338,648.0026920907933,187.22987005079116,,"3,13"
n302,647.821976036832,233.7272119519865,,"4,13"
n304,647.821976036832,280.307160912468,,"5,13"
n303,647.821976036832,329.5956115124146,,"6,13"
n307,648.9834077764259,379.97941882513635,,"7,13"
n313,648.3193428995468,426.75954207454595,,"8,13"
n120,642.7044698813111,484.62736894121355,,"9,13"
n118,646.6888591425862,534.2241077235512,,"10,13"
n116,639.716177935355,581.9922958718108,,"11,13"
n119,643.3685347581903,632.5317018859961,,"12,13"
n124,641.7083725659924,678.1616647686511,,"13,13"
n20,643.0211206900645,724.1570409649684,,"14,13"
n18,647.0055099513397,773.753779747306,,"15,13"
n16,640.0328287441084,821.5219678955656,,"16,13"
n19,643.6851855669438,872.061373909751,,"17,13"
n24,642.0250233747458,917.691336792406,,"18,13"
n475,647.2159561919998,973.586151974898,,"19,13"
n473,640.2432749847685,1021.3543401231576,,"20,13"
n476,643.8956318076039,1071.893746137343,,"21,13"
n480,642.2354696154059,1117.523709019998,"22,13","22,13"
