node_id,cx,cy,i,j,seed_row,seed_col,col_hat_float,row_hat_float,col_hat_round,row_hat_round,final_row,final_col,source,notes
n636,1624.041855,1215.174642,511,439,,,33.996368,24.418472,34,24,24,34,computed,
n637,1575.751974,1263.899801,497,453,,,33.070139,25.293110,33,25,25,33,computed,
n638,1669.032640,1166.765556,520,429,,,34.591800,23.793730,35,24,24,35,computed,
n639,1672.684997,1217.304962,533,442,,,35.451870,24.605895,35,25,25,35,computed,
n640,1527.080886,1264.263054,478,454,,,31.813114,25.355585,32,25,25,32,computed,
n641,1626.122033,1264.595087,514,456,,,34.194845,25.480533,34,25,25,34,computed,
n642,1671.024835,1262.934925,530,452,,,35.253392,25.230636,35,25,25,35,computed,
n643,1717.346825,1163.108653,534,423,,,35.518029,23.418885,36,23,23,36,computed,
n644,1720.999182,1213.648059,544,436,,,36.179621,24.231050,36,24,24,36,computed,
n645,1719.339019,1259.278022,539,446,,,35.848825,24.855791,36,25,25,36,computed,
n646,1765.523611,1169.107555,548,431,,,36.444258,23.918679,36,24,24,36,computed,
n647,1769.175967,1219.646961,554,444,,,36.841213,24.730843,37,25,25,37,computed,
n648,1767.515805,1265.276924,552,457,,,36.708894,25.543007,37,26,26,37,computed,
n649,1813.837795,1165.450652,559,427,,,37.172009,23.668782,37,24,24,37,computed,
n650,1817.490152,1215.990058,565,440,,,37.568964,24.480946,38,24,24,38,computed,
n651,1815.829990,1261.620021,563,450,,,37.436645,25.105688,37,25,25,37,computed,
n652,1624.389301,1312.807163,512,469,,,34.062527,26.292697,34,26,26,34,computed,
n653,1574.513306,1361.708777,493,481,,,32.805502,27.042387,33,27,27,33,computed,
n654,1623.969285,1362.388779,511,482,,,33.996368,27.104861,34,27,27,34,computed,
n655,1575.679404,1411.113938,497,496,,,33.070139,27.979500,33,28,28,33,computed,
n656,1668.960070,1313.979694,520,470,,,34.591800,26.355171,35,26,26,35,computed,
n657,1672.612427,1364.519100,533,484,,,35.451870,27.229810,35,27,27,35,computed,
n658,1527.008316,1411.477192,478,497,,,31.813114,28.041974,32,28,28,32,computed,
n659,1626.049463,1411.809225,514,498,,,34.194845,28.104448,34,28,28,34,computed,
n660,1670.952265,1410.149062,530,495,,,35.253392,27.917026,35,28,28,35,computed,
n661,1717.274255,1310.322791,534,465,,,35.518029,26.042800,36,26,26,36,computed,
n662,1720.926612,1360.862197,544,480,,,36.179621,26.979913,36,27,27,36,computed,
n663,1719.266449,1406.492160,539,491,,,35.848825,27.667129,36,28,28,36,computed,
n664,1765.451041,1316.321693,548,472,,,36.444258,26.480120,36,26,26,36,computed,
n665,1769.103397,1366.861099,554,485,,,36.841213,27.292284,37,27,27,37,computed,
n666,1767.443235,1412.491061,552,500,,,36.708894,28.229396,37,28,28,37,computed,
n667,1813.765225,1312.664790,559,468,,,37.172009,26.230223,37,26,26,37,computed,
n668,1817.417582,1363.204196,565,483,,,37.568964,27.167336,38,27,27,38,computed,
n669,1815.757420,1408.834159,563,493,,,37.436645,27.792077,37,28,28,37,computed,
n670,1574.673595,1162.682386,494,422,23,32,32.871661,23.356411,33,23,23,32,seed,"SEED_CONFLICT seed=(23,32) computed=(23,33)"
n671,1520.216113,1211.651816,466,434,,,31.019204,24.106101,31,24,24,31,computed,
n672,1481.360253,1214.966786,465,438,24,30,30.953045,24.355998,31,24,24,30,seed,"SEED_CONFLICT seed=(24,30) computed=(24,31)"
